number,country,GDP_per_capita,GDP_growth_rate
173,Morocco,3450,2.5
174,Micronesia-Federated-States-of,3400,2
175,Philippines,3340,6.04
176,Jordan,3291,2
177,Tajikistan,3200,7.0999999999999996
178,Angola,3097,-2.5
179,Egypt,2943,4.2000000000000002
180,Syria,2900,-36.5
181,Nepal,2700,7.9000000000000004
182,Vanuatu,2700,4.2000000000000002
183,Bolivia,2579,2.2200000000000002
184,Yemen,2500,-5.9000000000000004
185,Moldova,2441,4.5
186,Uganda,2400,4.7999999999999998
187,Solomon-Islands,2200,3.5
188,Vietnam,2125,6.7999999999999998
189,India,2100,4.8600000000000003
190,Rwanda,2100,6.0999999999999996
191,Afghanistan,2000,2.7000000000000002
192,Kiribati,2000,3.1000000000000001
193,Sudan,1929,1.3999999999999999
194,Haiti,1800,1.2
195,Korea-North,1700,-1.1000000000000001
196,Cote-d'Ivoire,1692,7.7999999999999998
197,Eritrea,1600,5
198,Sierra-Leone,1600,3.7000000000000002
199,South-Sudan,1600,-5.2000000000000002
200,Senegal,1583,7.2000000000000002
201,Comoros,1406,2.7000000000000002
202,Pakistan,1404,5.4000000000000004
203,Lesotho,1384,-1.6000000000000001
204,Kenya,1354,5.3899999999999997
205,Zimbabwe,1306,3.7000000000000002
206,Mozambique,1300,3.1099999999999999
207,Bangladesh,1281,7.4000000000000004
208,Benin,1224,5.5999999999999996
209,Malawi,1200,4
210,Kyrgyzstan,1127,4.5999999999999996
211,Tanzania,959,6.9800000000000004
212,Guinea,937,8.1999999999999993
213,Burkina-Faso,821,6.4000000000000004
214,Gambia-The,815,4.5999999999999996
215,Chad,813,-3.1000000000000001
216,Mali,792,5.4000000000000004
217,Central-African-Republic,700,4.2999999999999998
218,Togo,672,4.4000000000000004
219,Guinea-Bissau,598,5.9000000000000004
220,Ethiopia,537,10.9
221,Liberia,516,2.5
222,Madagascar,497,4.2000000000000002
223,Niger,472,4.9000000000000004
224,Congo-Democratic-Republic-of-the,421,3.3999999999999999
225,Burundi,208,0
226,Mauritania,175,3.5
227,Sao-Tome-and-Principe,1,3.8999999999999999
