country,Infant_Mortality_rate,Life_expectancy_at_birth,Birth_Rate,Death_Rate
Germany,3.2999999999999998,81.099999999999994,8.5999999999999996,12.1
Ghana,32.100000000000001,68.200000000000003,29.600000000000001,6.5999999999999996
Gibraltar,5.5999999999999996,80,13.800000000000001,8.5999999999999996
Greece,3.7000000000000002,81.099999999999994,7.7999999999999998,12
Greenland,8.3000000000000007,73.400000000000006,14.1,9
Grenada,8.9000000000000004,75.200000000000003,14.6,8.3000000000000007
Guam,10.800000000000001,77,18.899999999999999,6
Guatemala,21.800000000000001,72.400000000000006,23.300000000000001,4.9000000000000004
Guernsey,3.2999999999999998,82.799999999999997,9.8000000000000007,9.1999999999999993
Guinea,52.399999999999999,63.200000000000003,36.100000000000001,8.4000000000000004
Guinea-Bissau,51.899999999999999,62.799999999999997,36.899999999999999,7.9000000000000004
Guyana,27.600000000000001,69.5,15.5,7.5
Haiti,42.600000000000001,65.299999999999997,21.699999999999999,7.4000000000000004
Honduras,14.6,74.599999999999994,18.5,4.7000000000000002
Hong-Kong,2.7000000000000002,83.200000000000003,8.4000000000000004,7.9000000000000004
Hungary,4.7000000000000002,76.700000000000003,8.8000000000000007,12.9
Iceland,2.1000000000000001,83.299999999999997,13.300000000000001,6.5999999999999996
India,35.399999999999999,69.700000000000003,18.199999999999999,7.2999999999999998
Indonesia,20.399999999999999,73.700000000000003,15.4,6.5999999999999996
Iran,14.9,74.5,16.300000000000001,5.2999999999999998
Iraq,19.5,72.599999999999994,25.699999999999999,3.8999999999999999
Ireland,3.6000000000000001,81.200000000000003,13,6.7999999999999998
Isle-of-Man,3.8999999999999999,81.599999999999994,10.800000000000001,10.4
Israel,3.2999999999999998,83,17.600000000000001,5.2999999999999998
Italy,3.2000000000000002,82.5,8.4000000000000004,10.699999999999999
Jamaica,11.6,75.200000000000003,16.100000000000001,7.5
Japan,1.8999999999999999,86,7.2999999999999998,10.199999999999999
Jersey,3.6000000000000001,82.200000000000003,12.699999999999999,7.9000000000000004
Jordan,12.800000000000001,75.5,23,3.3999999999999999
Kazakhstan,17.899999999999999,72,16.399999999999999,8.1999999999999993
Kenya,29.800000000000001,69,27.199999999999999,5.2000000000000002
Kiribati,29.199999999999999,67.5,20.5,6.9000000000000004
Korea-North,20,71.599999999999994,14.5,9.4000000000000004
Korea-South,3,82.599999999999994,8.1999999999999993,6.7999999999999998
Kosovo,30.199999999999999,72.700000000000003,15.4,7
Kuwait,6.5,78.599999999999994,18,2.2999999999999998
Kyrgyzstan,23.300000000000001,71.799999999999997,20.600000000000001,6.2999999999999998
Laos,45.600000000000001,65.700000000000003,22.399999999999999,7.2000000000000002
Latvia,5,75.400000000000006,9.1999999999999993,14.6
Lebanon,6.7999999999999998,78.299999999999997,13.6,5.4000000000000004
Lesotho,41.5,53,23.199999999999999,15.4
Liberia,47.399999999999999,64.700000000000003,37.299999999999997,7
Libya,11.5,76.700000000000003,23,3.5
Liechtenstein,4.2000000000000002,82.200000000000003,10.4,7.7999999999999998
Lithuania,3.7999999999999998,75.5,9.5,15
Luxembourg,3.2999999999999998,82.599999999999994,11.6,7.2999999999999998
Macau,3.1000000000000001,84.599999999999994,7.9000000000000004,4.9000000000000004
Macedonia,7.4000000000000004,76.299999999999997,10.699999999999999,9.5999999999999996
Madagascar,37.799999999999997,67.299999999999997,29.899999999999999,6.2000000000000002
Malawi,39.5,63.200000000000003,40.100000000000001,7.2000000000000002
Malaysia,11.4,75.900000000000006,18.300000000000001,5.2999999999999998
Maldives,19.800000000000001,76.400000000000006,16,4.0999999999999996
Mali,64,61.600000000000001,42.200000000000003,9
Malta,4.5999999999999996,82.799999999999997,9.9000000000000004,8.3000000000000007
Marshall-Islands,17.399999999999999,74.099999999999994,22.800000000000001,4.2999999999999998
Mauritania,47.899999999999999,64.5,29,7.5
Mauritius,9,76.5,12.6,7.2999999999999998
Mexico,10.699999999999999,76.700000000000003,17.600000000000001,5.4000000000000004
Micronesia-Federated-States-of,17.800000000000001,73.900000000000006,18.899999999999999,4.2999999999999998
Moldova,11.1,71.900000000000006,10.699999999999999,12.6
Monaco,1.8999999999999999,89.299999999999997,6.4000000000000004,10.800000000000001
Mongolia,19.199999999999999,70.799999999999997,16.600000000000001,6.2999999999999998
Montenegro,3.3999999999999999,77.299999999999997,11.5,10.4
Montserrat,11.1,75.299999999999997,11.699999999999999,6
Morocco,18.199999999999999,73.299999999999997,17.899999999999999,6.5999999999999996
Mozambique,64.700000000000003,55.899999999999999,38.600000000000001,11
Namibia,31.399999999999999,65.299999999999997,25.699999999999999,7.2999999999999998
Nauru,7.4000000000000004,68.400000000000006,21.899999999999999,6
Nepal,25.100000000000001,71.799999999999997,18.100000000000001,5.7000000000000002
Netherlands,3.5,81.700000000000003,11,9.1999999999999993
New-Caledonia,5,78.400000000000006,14.5,5.9000000000000004
New-Zealand,3.5,82.099999999999994,12.800000000000001,6.9000000000000004
